Id,LookupMasterId,LookupItemId,DateCreated,Void,UserId
2f620cd8-fdb3-11ea-adc1-0242ac120002,836e8f1e-e8de-4567-91a1-4ebf1364dae9,25077c36-b50f-4392-bee3-81e405abc12d,"2020-09-24",false,46021000-fe5d-11ea-adc1-0242ac120002
8fbcd400-fe3a-11ea-adc1-0242ac120002,836e8f1e-e8de-4567-91a1-4ebf1364dae9,0f2ca7a9-303a-4c76-b25f-bb8e17253034,"2020-09-24",false,46021000-fe5d-11ea-adc1-0242ac120002
354ff062-fe3d-11ea-adc1-0242ac120002,5dbea7f0-8514-4a97-8337-96ca03193dab,c5432034-5ded-4800-aa6c-54f9c02a631c,"2020-09-24",false,46021000-fe5d-11ea-adc1-0242ac120002
b58b60d4-fe3a-11ea-adc1-0242ac120002,a45e92dc-1204-4991-83f8-92d44e2b1b82,b8d160e3-32f9-4753-b69f-1a9f2d0e9f51,"2020-09-24",false,46021000-fe5d-11ea-adc1-0242ac120002
b58b6354-fe3a-11ea-adc1-0242ac120002,a45e92dc-1204-4991-83f8-92d44e2b1b82,cfed709d-5cb4-4b42-8c42-9a4aecb01aa1,"2020-09-24",false,46021000-fe5d-11ea-adc1-0242ac120002
b58b6458-fe3a-11ea-adc1-0242ac120002,a45e92dc-1204-4991-83f8-92d44e2b1b82,7e190e10-acf8-4668-aee3-59580427f75d,"2020-09-24",false,46021000-fe5d-11ea-adc1-0242ac120002
b58b652a-fe3a-11ea-adc1-0242ac120002,a45e92dc-1204-4991-83f8-92d44e2b1b82,325457b0-1190-465c-8ef1-fddf435797bd,"2020-09-24",false,46021000-fe5d-11ea-adc1-0242ac120002
b58b65f2-fe3a-11ea-adc1-0242ac120002,a45e92dc-1204-4991-83f8-92d44e2b1b82,34c4ca6f-67da-4f2f-bc70-63baebc881d2,"2020-09-24",false,46021000-fe5d-11ea-adc1-0242ac120002
b58b66ba-fe3a-11ea-adc1-0242ac120002,a45e92dc-1204-4991-83f8-92d44e2b1b82,7fc027fa-f9f2-4dbc-af0b-81c7b446b82a,"2020-09-24",false,46021000-fe5d-11ea-adc1-0242ac120002
b58b6778-fe3a-11ea-adc1-0242ac120002,a45e92dc-1204-4991-83f8-92d44e2b1b82,d24be996-3575-4e12-909c-3726aa995a4f,"2020-09-24",false,46021000-fe5d-11ea-adc1-0242ac120002
b58b6a0c-fe3a-11ea-adc1-0242ac120002,a45e92dc-1204-4991-83f8-92d44e2b1b82,be7aa8d4-e086-4bdf-96be-dfe61c442636,"2020-09-24",false,46021000-fe5d-11ea-adc1-0242ac120002
b58b6ade-fe3a-11ea-adc1-0242ac120002,a45e92dc-1204-4991-83f8-92d44e2b1b82,5b800ee8-0d70-4404-93ec-b9dcca852d19,"2020-09-24",false,46021000-fe5d-11ea-adc1-0242ac120002
b58b6b9c-fe3a-11ea-adc1-0242ac120002,a45e92dc-1204-4991-83f8-92d44e2b1b82,d3e39e6e-e815-42ce-b7eb-f10f781c23e4,"2020-09-24",false,46021000-fe5d-11ea-adc1-0242ac120002
6179fb44-fe3b-11ea-adc1-0242ac120002,37c4aab1-abe0-453a-a6b2-ee9057eadc16,c0c7bce7-061f-4241-af70-10d7ce3a2364,"2020-09-24",false,46021000-fe5d-11ea-adc1-0242ac120002
6179fda6-fe3b-11ea-adc1-0242ac120002,37c4aab1-abe0-453a-a6b2-ee9057eadc16,b9e45877-b583-4037-a897-4d689724e2a2,"2020-09-24",false,46021000-fe5d-11ea-adc1-0242ac120002
